"fid";"count"
1188982886;486
1191303577;126
1191783165;134
1192400907;403
1192502676;624
1192680209;266
1192711320;723
1192951207;691
1193119590;278
1193601024;410
1194380802;338
1194551076;371
1194767895;883
1195081190;886
1195255827;115
1195831734;744
1195843855;765
1196233119;190
1196239307;569
1196730058;336
1196749793;523
1197002521;142
1197090030;818
1197378542;420
1197919885;156
1198833239;402
1199720046;180
1200204838;819
1200210054;450
1200218228;285
1200304417;363
1200395653;255
1200688225;906
1200955264;296
1201141071;682
1202225566;250
1202391649;750
1202662478;158
1203731129;297
1204224249;179
1204804946;592
1204974045;336
1205818157;188
1206557847;186
1207628581;47
1207841154;118
1207945443;197
1208742749;112
1209082549;208
1209085260;172
1209163114;178
1209258158;117
1210219512;9
1210332278;68
1210997632;101
1211216908;91
1211838377;165
1213233545;716
1214539025;70
1214628795;173
1214667305;1168
1215191725;452
1215204541;430
1215303901;501
1215337348;608
1215964709;138
1216809744;90
1217980935;197
1219489888;1809
1219675280;358
1219797895;148
1220607423;465
1220676342;73
1220719157;226
1221172334;348
1221286388;685
1221343690;1768
1222025273;541
1222710159;262
1222937868;103
1223442128;520
1224181527;516
1224323212;164
1224341385;161
1224935122;313
1225260081;385
1225500110;751
1226792949;150
1226878134;398
1228570844;1335
1228590099;662
1228777658;236
1229160065;275
1229460285;1072
1229670185;583
1230090813;267
1230458161;192
1230729028;823
1230914871;485
1231111897;315
1231147462;879
1231492532;273
1231805169;130
1232310016;701
1232460364;523
1232592833;246
1232970297;595
1232985525;1137
1233481202;91
1233752334;1419
1234020725;780
1234380686;1122
1234980151;1065
1235550031;450
1236120180;456
1236661908;944
1236871313;921
1236947409;327
1237032181;310
1237081470;401
1237200121;500
1237230098;744
1237626513;328
1237800116;462
1237950112;876
1238179408;469
1238280060;1026
1238344738;288
1239035627;428
1239666876;108
1240110141;17
1240758666;179
1240832684;203
1241059621;206
1241452625;783
1241641345;718
1242150281;225
1242552288;387
1242640203;269
1242840050;533
1242870221;1855
1243080077;310
1243260085;1029
1243596990;118
1244134605;200
1244221557;101
1244224374;125
1244485472;712
1244512695;251
1247160336;341
1248183030;344
1248603371;71
1248663953;229
1249171393;237
1249367206;532
1249466821;662
1249470035;146
1250170250;206
1250348806;1229
1251153811;619
1251646595;311
1252545311;846
1252662623;587
1252851193;1075
1252893023;168
1253109621;98
1253322505;324
1253361665;44
1254102853;423
1254893508;194
1254993979;600
1255187719;282
1256093421;358
1256957159;300
1258680008;765
1258741154;202
1259646557;360
1259940045;798
1261310883;206
1261853087;224
1263016683;1840
1263186813;606
1264396430;774
1264483809;29
1264593092;52
1265135618;766
1265149135;746
1266275235;388
1267133916;105
1267335279;986
1267725220;267
1267751043;81
1268165260;303
1268721054;616
1268746147;431
1268945522;247
1271184480;585
1271235026;715
1271692786;323
1272180059;1335
1272276206;409
1272330253;898
1272506808;499
1273140955;148
1274014402;566
1274344243;345
1274721753;513
1274880103;277
1275381246;107
1275810469;765
1276076576;759
1276622834;366
1277466810;652
1278060242;186
1278126686;99
1278287198;415
1278646261;2856
1278663638;72
1278976920;265
1279262974;131
1279317717;1116
1279917548;395
1280550055;276
1283060192;277
1283220013;1390
1283366925;189
1283610037;316
1284095121;470
1286361752;158
1287199634;220
1287271048;299
1287917136;137
1288196686;180
1288568064;246
1289644287;771
1289869365;328
1290141170;532
1290174498;332
1290521028;370
1292134847;96
1292546873;283
1292946988;693
1293070391;50
1293307766;615
1293411927;912
1294110487;83
1294551830;698
1295244876;439
1295305471;102
1295460045;497
1296012861;501
1296811415;190
1298332666;280
1298630735;200
1299270366;552
1299570152;210
1300293560;1330
1300560419;938
1300704356;823
1300934081;238
1301104206;952
1301125515;458
1301665032;409
1301976762;1407
1302623139;421
1302914244;201
1303323134;148
1303567674;721
1303607505;559
1304385160;223
1304580174;123
1304610222;679
1305330401;236
1305600035;1100
1306021169;160
1306031683;303
1306054085;45
1306195112;226
1307040186;566
1308060606;1138
1308120934;1132
1308241325;396
1308270342;1104
